team,position,player_name,club,caps,goals
Senegal,MF,CAMARA Lamine,AS Monaco (FRA),48,7
Senegal,FW,DIENG Bamba,FC Lorient (FRA),24,2
Senegal,FW,MANE Sadio,Al Nassr FC (KSA),133,54
Senegal,FW,NDIAYE Cherif,Samsunspor (TUR),19,4
Senegal,DF,JAKOBS Ismail,Galatasaray SK (TUR),33,0
Senegal,DF,DIATTA Krepin,AS Monaco (FRA),65,2
Senegal,GK,MENDY Edouard,Al Ahli FC (KSA),60,0
Senegal,DF,NIAKHATE Moussa,Olympique Lyonnais (FRA),35,0
Senegal,FW,MBAYE Ibrahim,Paris Saint-Germain (FRA),14,4
Senegal,MF,NDIAYE Bara Sapoko,FC Bayern München (GER),1,0
Senegal,GK,DIAW Mory,Le Havre AC (FRA),7,0
Senegal,DF,MENDY Antoine,OGC Nice (FRA),7,0
Senegal,MF,GUEYE Pape,Villarreal CF (ESP),45,8
South Africa,GK,WILLIAMS Ronwen,Mamelodi Sundowns FC (RSA),68,0
South Africa,DF,MATULUDI Thabang,Polokwane City FC (RSA),3,0
South Africa,DF,NDAMANE Khulumani,Mamelodi Sundowns FC (RSA),5,0
South Africa,MF,MOKOENA Teboho,Mamelodi Sundowns FC (RSA),60,10
South Africa,MF,MBATHA Thalente,Orlando Pirates FC (RSA),20,3
South Africa,DF,MODIBA Aubrey,Mamelodi Sundowns FC (RSA),52,3
South Africa,FW,APPOLLIS Oswin,Orlando Pirates FC (RSA),31,8
South Africa,FW,MOREMI Tshepang,Orlando Pirates FC (RSA),12,1
South Africa,FW,MOFOKENG Relebohile,Orlando Pirates FC (RSA),17,1
South Africa,MF,ZWANE Themba,Mamelodi Sundowns FC (RSA),56,12
South Africa,FW,MASEKO Thapelo,AEL Limassol (CYP),11,2
South Africa,MF,SITHOLE Sphephelo,CD Tondela (POR),32,1
South Africa,DF,MBOKAZI Mbekezeli,Chicago Fire FC (USA),14,1
South Africa,FW,RAYNERS Iqraam,Mamelodi Sundowns FC (RSA),24,5
South Africa,GK,CHAINE Sipho,Orlando Pirates FC (RSA),4,0
South Africa,FW,MAKGOPA Evidence,Orlando Pirates FC (RSA),31,6
South Africa,DF,KABINI Samukele,Molde FK (NOR),6,0
South Africa,DF,SIBISI Nkosinathi,Orlando Pirates FC (RSA),22,0
South Africa,DF,MUDAU Khuliso,Mamelodi Sundowns FC (RSA),38,1
South Africa,DF,OKON Ime,Hannover 96 (GER),12,1
South Africa,GK,GOSS Ricardo,Siwelele FC (RSA),7,0
South Africa,MF,ADAMS Jayden,Mamelodi Sundowns FC (RSA),11,2
South Africa,DF,MAKHANYA Olwethu,Philadelphia Union (USA),1,0
South Africa,FW,SEBELEBELE Kamogelo,Orlando Pirates FC (RSA),10,1
South Africa,DF,CROSS Bradley,Kaizer Chiefs FC (RSA),1,0
Spain,DF,PUBILL Marc,Atlético De Madrid (ESP),2,0
Spain,DF,GRIMALDO Alex,Bayer 04 Leverkusen (GER),14,0
Spain,DF,GARCIA Eric,FC Barcelona (ESP),21,0
Spain,DF,LLORENTE Marcos,Atlético De Madrid (ESP),26,0
Spain,FW,TORRES Ferran,FC Barcelona (ESP),60,24
Spain,MF,RUIZ Fabian,Paris Saint-Germain (FRA),45,6
Spain,MF,GAVI,FC Barcelona (ESP),31,5
Spain,FW,OLMO Dani,FC Barcelona (ESP),53,12
Spain,GK,GARCIA Joan,FC Barcelona (ESP),2,0
Spain,DF,LAPORTE Aymeric,Athletic Club (ESP),49,2
Spain,MF,BAENA Alex,Atlético De Madrid (ESP),19,3
Spain,FW,WILLIAMS Nico,Athletic Club (ESP),33,6
Spain,FW,YAMAL Lamine,FC Barcelona (ESP),28,7
Spain,MF,PEDRI,FC Barcelona (ESP),44,6
Spain,FW,OYARZABAL Mikel,Real Sociedad (ESP),56,27
Spain,DF,CUBARSI Pau,FC Barcelona (ESP),15,0
Spain,GK,SIMON Unai,Athletic Club (ESP),61,0
Spain,FW,MUNOZ Victor,CA Osasuna (ESP),2,1
Spain,FW,IGLESIAS Borja,RC Celta Vigo (ESP),8,0
Sweden,GK,WIDELL ZETTERSTROM Jacob,Derby County FC (ENG),5,0
Sweden,DF,LAGERBIELKE Gustaf,SC Braga (POR),15,2
Sweden,DF,HIEN Isak,Atalanta Bergamo (ITA),32,0
Sweden,DF,JOHANSSON Herman,FC Dallas (USA),3,0
Sweden,DF,SVENSSON Daniel,Borussia Dortmund (GER),16,0
Sweden,MF,NYGREN Benjamin,Celtic FC (SCO),15,3
Sweden,GK,JOHANSSON Viktor,Stoke City FC (ENG),12,0
Sweden,MF,SEMA Ken,Pafos FC (CYP),33,5
Sweden,DF,STARFELT Carl,RC Celta Vigo (ESP),19,0
Sweden,MF,KARLSTROM Jesper,Udinese (ITA),26,0
Sweden,MF,SVANBERG Mattias,VfL Wolfsburg (GER),42,3
Sweden,DF,SMITH Eric,FC St. Pauli (GER),2,0
Sweden,DF,BERNHARDSSON Alexander,Holstein Kiel (GER),14,0
Sweden,MF,ZENELI Besfort,Royale Union Saint-Gilloise (BEL),10,0
Sweden,GK,NORDFELDT Kristoffer,AIK Stockholm (SWE),23,0
Sweden,DF,STROUD Elliot,Mjällby AIF (SWE),5,0
Sweden,FW,NILSSON Gustaf,Club Brugge (BEL),10,4
Sweden,FW,ALI Taha,Malmö FF (SWE),4,0
Switzerland,GK,KOBEL Gregor,Borussia Dortmund (GER),24,0
Switzerland,DF,MUHEIM Miro,Hamburger SV (GER),11,0
Switzerland,DF,WIDMER Silvan,1. FSV Mainz 05 (GER),62,5
Switzerland,DF,ELVEDI Nico,Borussia Mönchengladbach (GER),70,3
Switzerland,MF,ZAKARIA Denis,AS Monaco (FRA),66,3
Switzerland,FW,EMBOLO Breel,Stade Rennais FC (FRA),89,25
Switzerland,MF,FREULER Remo,Bologna FC (ITA),91,11
Switzerland,MF,MANZAMBI Johan,SC Freiburg (GER),15,6
Switzerland,GK,MVOGO Yvon,FC Lorient (FRA),13,0
Switzerland,DF,RODRIGUEZ Ricardo,Real Betis (ESP),141,9
Switzerland,MF,JASHARI Ardon,AC Milan (ITA),9,0
Switzerland,MF,SOW Djibril,Sevilla FC (ESP),54,0
Switzerland,FW,FASSNACHT Christian,BSC Young Boys (SUI),24,5
Switzerland,FW,VARGAS Ruben,Sevilla FC (ESP),64,13
Switzerland,DF,COEMERT Eray,Valencia CF (ESP),22,0
Switzerland,MF,AEBISCHER Michel,Pisa SC (ITA),43,2
Switzerland,GK,KELLER Marvin,BSC Young Boys (SUI),1,0
Switzerland,MF,RIEDER Fabian,FC Augsburg (GER),30,1
Switzerland,DF,AMENDA Aurele,Eintracht Frankfurt (GER),7,0
Switzerland,DF,JAQUEZ Luca,VfB Stuttgart (GER),5,0
Switzerland,FW,ITTEN Cedric,Fortuna Düsseldorf (GER),17,5
Tunisia,GK,CHAMAKH Mouhib,Club Africain (TUN),4,0
Tunisia,DF,ABDI Ali,OGC Nice (FRA),49,7
Tunisia,DF,TALBI Montassar,FC Lorient (FRA),67,4
Tunisia,DF,REKIK Omar,NK Maribor (SVN),8,1
Tunisia,DF,AROUS Adam,Kasımpaşa SK (TUR),2,0
Tunisia,DF,BRONN Dylan,Servette FC (SUI),53,2
Tunisia,FW,ACHOURI Elias,FC København (DEN),33,5
Tunisia,FW,SAAD Elias,Hannover 96 (GER),17,3
Tunisia,FW,MASTOURI Hazem,FC Dynamo Makhachkala (RUS),20,5
Tunisia,MF,GHARBI Ismael,FC Augsburg (GER),20,2
Tunisia,DF,BEN OUANES Mortadha,Kasımpaşa SK (TUR),19,0
Tunisia,MF,KHEDIRA Rani,1. FC Union Berlin (GER),6,0
Tunisia,MF,AYARI Khalil,Paris Saint-Germain (FRA),4,0
Tunisia,MF,HADJ MAHMOUD Mohamed,FC Lugano (SUI),11,0
Tunisia,GK,DAHMEN Aymen,CS Sfaxien (TUN),39,0
Tunisia,MF,SKHIRI Ellyes,Eintracht Frankfurt (GER),86,4
Tunisia,FW,ELLOUMI Rayan,Vancouver Whitecaps FC (CAN),4,0
Tunisia,FW,CHAOUAT Firas,Club Africain (TUN),33,6
Tunisia,DF,VALERY Yan,BSC Young Boys (SUI),25,0
Tunisia,DF,BEN HMIDA Mohamed Amine,Espérance De Tunisie (TUN),16,0
Tunisia,GK,BEN HESSEN Sabri,Étoile Du Sahel (TUN),1,0
Tunisia,DF,NEFFATI Moutaz,IFK Norrköping FK (SWE),5,0
Tunisia,DF,CHIKHAOUI Raed,US Monastir (TUN),0,0
Tunisia,MF,SLIMANE Anis,Norwich City FC (ENG),43,4
Tunisia,MF,TOUNEKTI Sebastian,Celtic FC (SCO),15,1
Uruguay,GK,ROCHET Sergio,SC Internacional (BRA),36,0
Uruguay,DF,GIMENEZ Jose Maria,Atlético De Madrid (ESP),99,8
Uruguay,DF,CACERES Sebastian,Club América (MEX),26,0
Uruguay,DF,ARAUJO Ronald,FC Barcelona (ESP),27,1
Uruguay,MF,DE LA CRUZ Nicolas,CR Flamengo (BRA),37,5
Uruguay,MF,VALVERDE Federico,Real Madrid C. F. (ESP),76,9
Uruguay,MF,DE ARRASCAETA Giorgian,CR Flamengo (BRA),59,13
Uruguay,FW,PELLISTRI Facundo,Panathinaikos FC (GRE),39,2
Uruguay,GK,MELE Santiago,CF Monterrey (MEX),8,0
Uruguay,DF,VARELA Guillermo,CR Flamengo (BRA),30,0
Uruguay,MF,CANOBBIO Agustin,Fluminense FC (BRA),17,2
Uruguay,DF,OLIVERA Mathias,SSC Napoli (ITA),38,2
Uruguay,DF,VINA Matias,CA River Plate (ARG),44,1
Uruguay,FW,RODRIGUEZ Brian,Club América (MEX),36,4
Uruguay,FW,AGUIRRE Rodrigo,Tigres UANL (MEX),11,3
Uruguay,MF,ARAUJO Maxi,Sporting CP (POR),31,5
Uruguay,FW,VINAS Federico,Real Oviedo (ESP),14,2
Uruguay,MF,PIQUEREZ Joaquin,SE Palmeiras (BRA),19,0
Uruguay,GK,MUSLERA Fernando,Estudiantes LP (ARG),137,0
Uruguay,MF,SANABRIA Juan Manuel,Real Salt Lake (USA),8,1
Uruguay,MF,ZALAZAR Rodrigo,SC Braga (POR),7,2
Uzbekistan,GK,YUSUPOV Utkir,PFC Navbahor Namangan (UZB),46,0
Uzbekistan,DF,ALIJONOV Khojiakbar,Pakhtakor Tashkent FK (UZB),54,3
Uzbekistan,DF,SAYFIEV Farrukh,FK Neftchi Farg'ona (UZB),72,1
Uzbekistan,DF,ASHURMATOV Rustam,Esteghlal Tehran FC (IRN),54,1
Uzbekistan,MF,MOZGOVOY Akmal,Pakhtakor Tashkent FK (UZB),28,1
Uzbekistan,MF,SHUKUROV Otabek,Baniyas Club (UAE),93,10
Uzbekistan,MF,ISKANDEROV Jamshid,FK Neftchi Farg'ona (UZB),47,4
Uzbekistan,MF,XAMROBEKOV Odiljon,Tractor Sazi Tabriz FC (IRN),78,1
Uzbekistan,MF,JIYANOV Ruslanbek,PFC Navbahor Namangan (UZB),9,1
Uzbekistan,MF,URUNOV Oston,Persepolis FC (IRN),47,10
Uzbekistan,GK,NEMATOV Abduvohid,Nasaf Qarshi FC (UZB),17,0
Uzbekistan,DF,NASRULLAEV Sherzod,Pakhtakor Tashkent FK (UZB),43,2
Uzbekistan,FW,SHOMURODOV Eldor,Başakşehir FK (TUR),96,45
Uzbekistan,DF,ESHMURODOV Umar,Nasaf Qarshi FC (UZB),40,0
Uzbekistan,GK,ERGASHEV Botirali,FK Neftchi Farg'ona (UZB),5,0
Uzbekistan,MF,KHAMDAMOV Dostonbek,Pakhtakor Tashkent FK (UZB),39,5
Uzbekistan,DF,ABDULLAEV Abdulla,Dibba FC (UAE),31,0
Uzbekistan,MF,GANIEV Azizjon,Al Bataeh Club (UAE),26,0
Uzbekistan,FW,AMONOV Azizbek,FK Dinamo Samarkand (UZB),14,2
Uzbekistan,FW,SERGEEV Igor,Persepolis FC (IRN),88,25
Uzbekistan,MF,FAYZULLAEV Abbosbek,Başakşehir FK (TUR),35,9
Uzbekistan,MF,ESANOV Sherzod,FK Buxoro (UZB),2,0
Uzbekistan,DF,KARIMOV Behruzjon,Surkhon FK (UZB),4,0
Uzbekistan,DF,ULMASALIYEV Avazbek,OKMK FK (UZB),0,0
Uzbekistan,DF,UROZOV Jakhongir,FK Dinamo Samarkand (UZB),6,1
