id,first_name,second_name,web_name,team_name,element,minutes,total_points
361,Darko,Gyabi,Gyabi,Leeds,361,0,0
363,Patrick,Bamford,Bamford,Leeds,363,0,0
364,Mateo,Joseph Fernández-Regatillo,Mateo Joseph,Leeds,364,0,0
741,Harry,Gray,Gray,Leeds,741,0,0
787,Sam,Chambers,Chambers,Leeds,787,0,0
837,Jayden,Lienou,Lienou,Leeds,837,0,0
838,Rhys,Chadwick,Chadwick,Leeds,838,0,0
839,Alfie,Cresswell,Cresswell,Leeds,839,0,0
368,Ármin,Pécsi,Pécsi,Liverpool,368,0,0
378,Amara,Nallo,Nallo,Liverpool,378,0,0
379,Rhys,Williams,R.Williams,Liverpool,379,0,0
380,Calvin,Ramsay,Ramsay,Liverpool,380,0,0
395,Tyler,Morton,Morton,Liverpool,395,0,0
692,Giovanni,Leoni,Leoni,Liverpool,692,0,0
746,Kieran,Morrison,Morrison,Liverpool,746,0,0
760,Wellity,Lucky,Lucky,Liverpool,760,0,0
830,Will,Wright,Wright,Liverpool,830,0,0
832,Talla,Ndiaye,Ndiaye,Liverpool,832,0,0
401,Marcus,Bettinelli,Bettinelli,Man City,401,0,0
428,Sverre,Nypan,Nypan,Man City,428,0,0
740,Stephen,Mfuni,Mfuni,Man City,740,0,0
742,Ryan,McAidoo,McAidoo,Man City,742,0,0
763,Charlie,Gray,Gray,Man City,763,0,0
764,Reigan,Heskey,Heskey,Man City,764,0,0
433,Elyh,Harrison,Harrison,Man Utd,433,0,0
434,Tom,Heaton,Heaton,Man Utd,434,0,0
435,Dermot,Mee,Mee,Man Utd,435,0,0
439,Diego,León Blanco,D.Leon,Man Utd,439,0,0
461,Jayce,Fitzgerald,Fitzgerald,Man Utd,461,0,0
463,Sékou,Koné,Kone,Man Utd,463,0,0
464,Jack,Moorhouse,Moorhouse,Man Utd,464,0,0
788,Godwill,Kukonki,Kukonki,Man Utd,788,0,0
827,Jim,Thwaites,Thwaites,Man Utd,827,0,0
471,Mark,Gillespie,Gillespie,Newcastle,471,0,0
472,Odysseas,Vlachodimos,Odysseas,Newcastle,472,0,0
482,Harrison,Ashby,Ashby,Newcastle,482,0,0
483,Miodrag,Pivaš,Pivas,Newcastle,483,0,0
492,Antoñito,Cordero Campillo,Antoñito C.,Newcastle,492,0,0
495,Isaac,Hayden,Hayden,Newcastle,495,0,0
496,Garang,Kuol,Kuol,Newcastle,496,0,0
689,Seung-Soo,Park,Seung soo,Newcastle,689,0,0
753,John,Ruddy,Ruddy,Newcastle,753,0,0
765,Leo,Shahar,Shahar,Newcastle,765,0,0
772,Sam,Alabi,Alabi,Newcastle,772,0,0
503,Carlos Miguel,dos Santos Pereira,C.Miguel,Nott'm Forest,503,0,0
509,David,Mota Veiga Teixeira do Carmo,David Carmo,Nott'm Forest,509,0,0
512,Omar,Richards,O.Richards,Nott'm Forest,512,0,0
520,Lewis,O'Brien,O'Brien,Nott'm Forest,520,0,0
524,Marko,Stamenić,Stamenic,Nott'm Forest,524,0,0
729,Luis Eduardo,Soares da Silva,Cuiabano,Nott'm Forest,729,0,0
835,Archie,Whitehall,Whitehall,Nott'm Forest,835,0,0
836,Jimmy,Sinclair,Sinclair,Nott'm Forest,836,0,0
841,Lamin,Sillah,Sillah,Nott'm Forest,841,0,0
528,Anthony,Patterson,Patterson,Sunderland,528,0,0
529,Simon,Moore,Moore,Sunderland,529,0,0
530,Blondy,Nna Noukeu,Nna Noukeu,Sunderland,530,0,0
533,Aji,Alese,Alese,Sunderland,533,0,0
534,Joe,Anderson,Anderson,Sunderland,534,0,0
536,Leo Fuhr,Hjelde,Hjelde,Sunderland,536,0,0
537,Niall,Huggins,Huggins,Sunderland,537,0,0
538,Zak,Johnson,Johnson,Sunderland,538,0,0
540,Timothée,Pembélé,Pembele,Sunderland,540,0,0
546,Milan,Aleksić,Aleksić,Sunderland,546,0,0
550,Ian,Poveda-Ocampo,Poveda,Sunderland,550,0,0
554,Abdoullah,Ba,Ba,Sunderland,554,0,0
555,Alan,Browne,Browne,Sunderland,555,0,0
556,Pierre,Ekwah Elimby,Ekwah,Sunderland,556,0,0
557,Harrison,Jones,H.Jones,Sunderland,557,0,0
558,Jay,Matete,Matete,Sunderland,558,0,0
559,Nectarios,Triantis,Triantis,Sunderland,559,0,0
562,Ahmed,Abdullahi,Abdullahi,Sunderland,562,0,0
563,Luís Hemir,Silva Semedo,Luís Hemir,Sunderland,563,0,0
564,Nazarii,Rusyn,Rusyn,Sunderland,564,0,0
774,Jenson,Jones,Jenson Jones,Sunderland,774,0,0
775,Tymur,Tutierov,Tutierov,Sunderland,775,0,0
821,Jack,Whittaker,Whittaker,Sunderland,821,0,0
822,Jaydon,Jones,Jones,Sunderland,822,0,0
576,Ashley,Phillips,Phillips,Spurs,576,0,0
577,Takai,Kōta,Takai,Spurs,577,0,0
